Name,Position,Age,Team,AllStar,WorldSeries
Mike Trout,Outfielder,32,Angels,10,0
Aaron Judge,Outfielder,32,Yankees,5,0
Shohei Ohtani,Pitcher/DH,29,Dodgers,3,0
Mookie Betts,Outfielder,31,Dodgers,6,2
Juan Soto,Outfielder,25,Yankees,3,1
Freddie Freeman,First Base,34,Dodgers,7,1
Francisco Lindor,Shortstop,30,Mets,4,0
Bryce Harper,Outfielder,31,Phillies,7,0
Ronald Acuña Jr.,Outfielder,26,Braves,4,1
Gerrit Cole,Pitcher,33,Yankees,6,0
Fernando Tatis Jr.,Outfielder,25,Padres,2,0
Vladimir Guerrero Jr.,First Base,25,Blue Jays,3,0
Bobby Witt Jr.,Shortstop,24,Royals,1,0
Corbin Burnes,Pitcher,29,Orioles,3,0
Yordan Alvarez,Designated Hitter,27,Astros,2,1
Julio Rodriguez,Outfielder,23,Mariners,2,0
Gunnar Henderson,Shortstop,23,Orioles,1,0
Matt Olson,First Base,30,Braves,2,0
Trea Turner,Shortstop,31,Phillies,2,1
Jose Ramirez,Third Base,31,Guardians,5,0
Zack Wheeler,Pitcher,34,Phillies,2,0
Kyle Tucker,Outfielder,27,Astros,2,1
Spencer Strider,Pitcher,25,Braves,1,1
Jose Altuve,Second Base,34,Astros,8,2
Nolan Arenado,Third Base,33,Cardinals,8,0
Manny Machado,Third Base,32,Padres,6,0
Rafael Devers,Third Base,27,Red Sox,2,1
Luis Robert Jr.,Outfielder,27,White Sox,1,0
Corey Seager,Shortstop,30,Rangers,3,1
Wander Franco,Shortstop,23,Rays,0,0
Max Scherzer,Pitcher,39,Rangers,8,1
Justin Verlander,Pitcher,41,Astros,9,2
Pete Alonso,First Base,29,Mets,3,0
Austin Riley,Third Base,27,Braves,1,1
Adley Rutschman,Catcher,26,Orioles,1,0
Paul Goldschmidt,First Base,36,Cardinals,7,0
Marcus Semien,Second Base,33,Rangers,2,0
Elly De La Cruz,Shortstop,22,Reds,0,0
Alex Bregman,Third Base,30,Astros,2,2
Carlos Correa,Shortstop,29,Twins,2,1
J.T. Realmuto,Catcher,33,Phillies,4,0
Jacob deGrom,Pitcher,36,Rangers,4,0
Christian Yelich,Outfielder,32,Brewers,2,0
Walker Buehler,Pitcher,29,Dodgers,2,1
Randy Arozarena,Outfielder,29,Rays,1,0
Zac Gallen,Pitcher,29,Diamondbacks,1,0
Tyler Glasnow,Pitcher,30,Dodgers,0,0
Cody Bellinger,Outfielder,29,Cubs,2,1
Bo Bichette,Shortstop,26,Blue Jays,2,0
Tim Anderson,Shortstop,31,Marlins,2,0
Clayton Kershaw,Pitcher,36,Dodgers,10,1
Xander Bogaerts,Shortstop,31,Padres,4,2
Ketel Marte,Second Base,30,Diamondbacks,1,0
George Springer,Outfielder,34,Blue Jays,3,1
Salvador Perez,Catcher,34,Royals,8,1
Byron Buxton,Outfielder,30,Twins,1,0
Jazz Chisholm Jr.,Center Field,26,Marlins,0,0
Dansby Swanson,Shortstop,30,Cubs,1,1
Emmanuel Clase,Pitcher,26,Guardians,2,0
Shane Bieber,Pitcher,29,Guardians,2,0
Anthony Rendon,Third Base,34,Angels,1,1
Josh Hader,Pitcher,30,Astros,5,0
Michael Harris II,Outfielder,23,Braves,0,1
Ozzie Albies,Second Base,27,Braves,2,1
Edwin Diaz,Pitcher,30,Mets,2,0
Ryan Helsley,Pitcher,30,Cardinals,1,0
Will Smith,Catcher,29,Dodgers,1,1
Framber Valdez,Pitcher,30,Astros,2,1
Sandy Alcantara,Pitcher,28,Marlins,2,0
Spencer Torkelson,First Base,24,Tigers,0,0
Willy Adames,Shortstop,28,Brewers,0,0
Tarik Skubal,Pitcher,27,Tigers,0,0
Riley Greene,Outfielder,23,Tigers,0,0
Brayan De La Cruz,Third Base,27,Marlins,0,0
Sean Murphy,Catcher,29,Braves,0,1
Giancarlo Stanton,Designated Hitter,34,Yankees,5,0
Max Fried,Pitcher,30,Braves,1,1
Bryan Reynolds,Outfielder,29,Pirates,1,0
CJ Abrams,Shortstop,23,Nationals,0,0
Oneil Cruz,Shortstop,25,Pirates,0,0
Corbin Carroll,Outfielder,23,Diamondbacks,1,0
Christopher Morel,Outfielder,25,Cubs,0,0
Lars Nootbaar,Outfielder,26,Cardinals,0,0
Alec Bohm,Third Base,28,Phillies,0,0
Luis Castillo,Pitcher,31,Mariners,2,0
Cristian Javier,Pitcher,27,Astros,0,1
Jordan Montgomery,Pitcher,31,Diamondbacks,0,1
Paul Skenes,Pitcher,22,Pirates,0,0
Jackson Holliday,Second Base,20,Orioles,0,0
Joey Votto,First Base,40,Free Agent,6,0
Buster Posey,Catcher,37,Retired,7,3
Yadier Molina,Catcher,41,Retired,10,2
Miguel Cabrera,First Base,41,Retired,12,1
Albert Pujols,First Base,44,Retired,11,2
Anthony Volpe,Shortstop,23,Yankees,0,0
Yu Darvish,Pitcher,37,Padres,5,0
Blake Snell,Pitcher,31,Giants,2,0
Zach Eflin,Pitcher,30,Rays,0,0
Evan Carter,Outfielder,21,Rangers,0,1
Wyatt Langford,Outfielder,22,Rangers,0,0
Cedric Mullins,Outfielder,29,Orioles,1,0
Andrew McCutchen,Outfielder,37,Pirates,5,0
Logan Webb,Pitcher,27,Giants,0,0
Triston Casas,First Base,24,Red Sox,0,0
Christian Walker,First Base,33,Diamondbacks,0,0
Logan Gilbert,Pitcher,27,Mariners,0,0
Cal Raleigh,Catcher,27,Mariners,0,0
Kyle Schwarber,Outfielder,31,Phillies,2,1
Andrés Giménez,Second Base,25,Guardians,1,0
Garrett Crochet,Pitcher,25,White Sox,0,0
Kris Bryant,Outfielder,32,Rockies,4,1